draw_date,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2026-06-23,24,27,43,48,50,4,12
2026-06-26,17,25,35,39,41,5,9
2026-06-30,12,19,34,44,50,3,8
2026-07-03,4,9,20,25,28,1,3
2026-07-07,6,16,24,41,46,2,3
2026-07-10,13,25,28,42,45,5,12
2026-07-14,5,6,17,34,36,3,11
2026-07-17,6,21,31,47,48,2,9
2026-07-21,4,8,10,17,37,5,7
2026-07-24,4,6,8,17,22,7,10
2026-07-28,11,25,40,41,45,1,5
2026-07-31,4,10,20,40,41,4,6
2026-08-04,3,17,30,35,43,1,12
2026-08-07,1,3,6,13,23,5,7
2026-08-11,4,11,12,16,30,8,9
2026-08-14,5,26,28,30,40,3,6
2026-08-18,15,22,24,34,42,4,7
2026-08-21,25,35,45,46,50,4,8
2026-08-25,4,5,7,48,50,4,5
2026-08-28,23,34,39,45,49,1,4
2026-09-01,9,14,35,43,50,3,7
2026-09-04,5,14,31,33,43,3,4
2026-09-08,14,27,34,36,47,3,4
2026-09-11,14,21,35,37,49,1,12
2026-09-15,5,6,10,27,42,1,8
2026-09-18,4,25,30,32,33,4,5
2026-09-22,17,23,33,46,47,4,5
